"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb04",0.54,0.15,1.91,0.65,-0.96,"0.34"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb05",0.41,0.06,2.75,0.97,-0.92,"0.36"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb06",0.53,0.12,2.25,0.74,-0.87,"0.39"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb07",0,0,0,0,-36449.61,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb08",3.04,1.54,5.99,0.35,3.22,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb09",3.55,1.81,6.93,0.34,3.7,"2.12e-04"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb10",0.34,0.05,2.24,0.96,-1.12,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb11",1.07,0.14,7.88,1.02,0.07,"0.95"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb12",3.47,1.77,6.79,0.34,3.62,"2.90e-04"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb15",2.2,0.77,6.24,0.53,1.48,"0.14"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Non-binary","batchb16",0.39,0.15,1.03,0.5,-1.9,"0.06"
